"detail.rd.reduceCar";"detail.rd.compCar"
0;0
-0.5145;0.168
-0.1;0.3536
-1.88;0
0;0
0;0
0;0
-0.5145;0.17304
0;0
0;0
-1.504;0
0;0
0;0
-0.135;0.01768
0;0
0;0
0;0
-0.0705;0.03452
0;0
0;0
-0.02;0.07072
0;0
0;0
-0.705;0.2568
0;0
0;0
0;0
-0.176;0.28288
0;0
0;0
0;0
0;0
-0.15;0.2484
0;0
-0.705;0.24
0;0
0;0
0;0
0;0
0;0
-0.18;0
-3.42;0
0;0
0;0
0;0
-0.49;0.22648
-1.539;0.44712
0;0
-0.275;0
-0.2;0.32
0;0
0;0
0;0
-0.196;0
0;0
0;0
-0.432;0.13472
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.1225;0
-0.81;0.2442
-0.094;0
0;0
0;0
0;0
-0.09;0
0;0
0;0
-0.12;0.192
0;0
0;0
0;0
0;0
-0.27;0.1768
-0.3135;0.19448
0;0
0;0
0;0
-0.055;0.08
0;0
0;0
0;0
0;0
0;0
-0.47;0.16
-0.099;0.07956
0;0
0;0
-0.567;0.11788
-0.987;0
0;0.964
0;0
-0.2585;0.19448
0;0
0;0
-0.342;0.10104
-0.3525;0.12
-0.2115;0
0;0
0;0
-0.216;0
0;0
-0.735;0.24
-0.294;0.03536
-0.3705;0
0;0
0;0
0;0
-0.4935;0
-0.684;0
-0.162;0.072
0;0
0;0
0;0
0;0
-2.115;0.6126
-0.1225;0.04
0;0
0;0.10608
0;0
-2.025;0.6
-0.6125;0
-0.627;0.18524
-0.05;0.08
-0.15;0.5304
-0.196;0.14144
0;0
-0.705;0
-0.27;0.22356
0;0
0;0
0;0
0;0
-0.5875;0
0;0
-0.282;0.10104
0;0
-0.57;0.1684
-1.078;0.37048
0;0
0;0
-0.0735;0
-1.176;0.53888
-0.285;0
-1.078;0.352
-0.27;0
-0.08;0.128
-0.22;0
0;0
-1.225;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-4.116;0.336
0;0
-0.2695;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.18;0
0;0
0;0
0;0
0;0
-1.134;0.224
-0.165;0.2652
0;0
0;0
0;0
0;0
0;0
-0.456;0.13472
0;0
0;0
0;0
0;0
0;0
-0.0705;0
0;0
0;0
0;0.56
0;0
-0.26;0
0;0
-2.7;0
0;0
0;0
-1.316;0.35952
-0.392;0
0;0
0;0
0;0
-1.323;0
0;0
0;0
0;0
-0.09;0.15912
0;0
-0.09;0.15912
0;0
0;0
-0.115;0.20332
0;0
0;0
0;0
-0.282;0.096
0;0
0;0
-0.1175;0.016
-2.1375;0.442
0;0
-1.08;0.49008
-0.08;0.128
0;0
-0.5145;0.168
0;0
0;0
0;0
0;0
0;0
-0.729;0
-0.49;0.16
0;0
-1.5275;0.52
-0.188;0
-0.54;0
0;0
-0.25;0.4084
0;0
-1.44;0.64
0;0
0;0
0;0
0;0
0;0
-1.2495;0.408
0;0
0;0
0;0
-0.189;0.056
0;0
-1.029;0.24752
-1.1985;0.73712
0;0
0;0
0;0
0;0
0;0
-0.47;0
0;0
-0.375;0
0;0
0;0
0;0
0;0
-1.47;0.16
0;0
-0.49;0.3536
-1.617;0
0;0
0;0
